FID;SID;X;Y;Z;Radius
0;0;20.000;10.000;-0.000;0.500
0;0;19.600;11.600;-0.200;0.473
0;0;19.200;13.200;-0.300;0.448
0;0;18.800;14.700;-0.400;0.425
0;0;18.500;16.200;-0.500;0.404
0;0;18.200;17.600;-0.600;0.385
0;0;17.900;19.000;-0.700;0.367
0;0;17.700;20.400;-0.700;0.351
0;0;17.500;21.700;-0.700;0.337
0;0;17.300;23.000;-0.700;0.324
0;0;17.200;24.200;-0.700;0.313
0;0;17.000;25.400;-0.700;0.304
0;0;16.900;26.600;-0.700;0.296
0;0;16.900;27.700;-0.600;0.289
0;0;16.800;28.800;-0.500;0.284
0;0;16.800;29.800;-0.400;0.280
0;0;16.800;30.800;-0.300;0.278
0;0;16.900;31.800;-0.200;0.277
0;0;16.900;32.800;-0.100;0.277
0;0;17.000;33.700;0.100;0.279
0;0;17.100;34.600;0.200;0.282
0;0;17.200;35.400;0.400;0.286
0;0;17.400;36.300;0.600;0.291
0;0;17.600;37.000;0.800;0.298
0;0;17.800;37.800;1.000;0.305
0;0;18.000;38.500;1.200;0.314
0;0;18.200;39.200;1.400;0.323
0;0;18.500;39.900;1.700;0.334
0;0;18.800;40.600;1.900;0.346
0;0;19.100;41.200;2.200;0.358
0;0;19.400;41.800;2.500;0.371
0;0;19.700;42.400;2.800;0.386
0;0;20.100;42.900;3.000;0.401
0;0;20.500;43.500;3.300;0.417
0;0;20.900;44.000;3.700;0.433
0;0;21.300;44.500;4.000;0.450
0;0;21.700;44.900;4.300;0.468
0;0;22.200;45.400;4.600;0.487
0;0;22.600;45.800;5.000;0.506
0;0;23.100;46.200;5.300;0.526
0;0;23.600;46.600;5.700;0.542
0;1;23.600;46.600;5.700;0.542
0;1;23.900;46.100;6.000;0.529
0;1;24.200;45.600;6.400;0.516
0;1;24.500;45.100;6.700;0.505
0;1;24.800;44.600;7.000;0.494
0;1;25.100;44.200;7.300;0.484
0;1;25.400;43.700;7.600;0.475
0;1;25.800;43.200;7.900;0.467
0;1;26.100;42.800;8.200;0.459
0;1;26.500;42.300;8.500;0.453
0;1;26.800;41.900;8.800;0.447
0;1;27.200;41.400;9.000;0.441
0;1;27.500;41.000;9.300;0.436
0;1;27.900;40.500;9.600;0.432
0;1;28.200;40.100;9.800;0.429
0;1;28.600;39.700;10.100;0.426
0;1;29.000;39.300;10.300;0.424
0;1;29.400;38.800;10.600;0.422
0;1;29.800;38.400;10.800;0.422
0;1;30.200;38.000;11.100;0.421
0;1;30.600;37.600;11.300;0.421
0;1;31.000;37.200;11.500;0.422
0;1;31.400;36.800;11.700;0.423
0;1;31.800;36.400;11.900;0.425
0;1;32.200;36.000;12.200;0.427
0;1;32.700;35.600;12.400;0.429
0;1;33.100;35.300;12.600;0.433
0;1;33.500;34.900;12.800;0.436
0;1;34.000;34.500;13.000;0.440
0;1;34.400;34.200;13.100;0.444
0;1;34.900;33.800;13.300;0.449
0;1;35.300;33.400;13.500;0.454
0;1;35.800;33.100;13.700;0.459
0;1;36.300;32.700;13.800;0.465
0;1;36.700;32.400;14.000;0.471
0;1;37.200;32.000;14.200;0.477
0;1;37.700;31.700;14.300;0.484
0;1;38.100;31.300;14.500;0.490
0;1;38.600;31.000;14.600;0.497
0;1;39.100;30.700;14.800;0.505
0;1;39.600;30.400;14.900;0.512
0;1;40.100;30.000;15.000;0.520
0;1;40.600;29.700;15.200;0.528
0;1;41.100;29.400;15.300;0.536
0;1;41.600;29.100;15.400;0.544
0;1;42.100;28.800;15.600;0.552
0;1;42.600;28.400;15.700;0.560
0;1;43.100;28.100;15.800;0.569
0;1;43.600;27.800;15.900;0.577
0;1;44.200;27.500;16.000;0.586
0;1;44.700;27.200;16.100;0.594
0;1;45.200;26.900;16.200;0.603
0;1;45.700;26.700;16.300;0.612
0;1;46.300;26.400;16.400;0.620
0;1;46.800;26.100;16.500;0.629
0;1;47.300;25.800;16.600;0.637
0;1;47.900;25.500;16.700;0.646
0;1;48.400;25.200;16.800;0.654
0;1;49.000;25.000;16.900;0.662
0;1;49.500;24.700;16.900;0.670
0;1;50.100;24.400;17.000;0.678
0;1;50.600;24.100;17.100;0.686
0;1;51.200;23.900;17.200;0.694
0;1;51.700;23.600;17.200;0.701
0;1;52.300;23.300;17.300;0.708
0;1;52.800;23.100;17.300;0.715
0;1;53.400;22.800;17.400;0.722
0;1;53.900;22.600;17.500;0.729
0;1;54.500;22.300;17.500;0.735
0;1;55.100;22.000;17.600;0.741
0;1;55.600;21.800;17.600;0.747
0;1;56.200;21.500;17.700;0.752
0;1;56.800;21.300;17.700;0.757
0;1;57.300;21.000;17.800;0.762
0;1;57.900;20.800;17.800;0.766
0;1;58.500;20.500;17.900;0.770
0;1;59.100;20.300;17.900;0.773
0;1;59.600;20.100;17.900;0.776
0;1;60.200;19.800;18.000;0.779
0;1;60.800;19.600;18.000;0.781
0;1;61.300;19.300;18.100;0.783
0;1;61.900;19.100;18.100;0.784
0;1;62.500;18.900;18.100;0.785
0;1;63.100;18.600;18.100;0.785
0;1;63.700;18.400;18.200;0.785
0;1;64.200;18.200;18.200;0.785
0;1;64.800;17.900;18.200;0.784
0;1;65.400;17.700;18.300;0.783
0;1;66.000;17.500;18.300;0.781
0;1;66.600;17.300;18.300;0.780
0;1;67.100;17.000;18.300;0.777
0;1;67.700;16.800;18.400;0.775
0;1;68.300;16.600;18.400;0.772
0;1;68.900;16.400;18.400;0.769
0;1;69.500;16.200;18.400;0.765
0;1;70.100;16.000;18.500;0.761
0;1;70.600;15.700;18.500;0.757
0;1;71.200;15.500;18.500;0.753
0;1;71.800;15.300;18.500;0.748
0;1;72.400;15.100;18.600;0.743
0;1;73.000;14.900;18.600;0.738
0;1;73.600;14.700;18.600;0.732
0;1;74.100;14.500;18.600;0.726
0;1;74.700;14.300;18.700;0.720
0;1;75.300;14.100;18.700;0.714
0;1;75.900;13.900;18.700;0.708
0;1;76.500;13.700;18.800;0.701
0;1;77.100;13.500;18.800;0.694
0;1;77.700;13.400;18.800;0.687
0;1;78.200;13.200;18.900;0.680
0;1;78.800;13.000;18.900;0.673
0;1;79.400;12.800;18.900;0.665
0;1;80.000;12.600;19.000;0.657
0;1;80.600;12.500;19.000;0.649
0;1;81.200;12.300;19.100;0.641
0;1;81.800;12.100;19.100;0.633
0;1;82.400;12.000;19.200;0.625
0;1;82.900;11.800;19.200;0.617
0;1;83.500;11.600;19.300;0.608
0;1;84.100;11.500;19.300;0.600
0;1;84.700;11.300;19.400;0.591
0;1;85.300;11.200;19.400;0.582
0;1;85.900;11.000;19.500;0.573
0;1;86.400;10.900;19.600;0.565
0;1;87.000;10.700;19.600;0.556
0;1;87.600;10.600;19.700;0.547
0;1;88.200;10.400;19.800;0.538
0;1;88.800;10.300;19.800;0.529
0;1;89.400;10.200;19.900;0.520
0;1;89.900;10.000;20.000;0.511
0;1;90.500;9.900;20.100;0.502
0;1;91.100;9.800;20.200;0.493
0;1;91.700;9.700;20.300;0.484
0;1;92.300;9.600;20.400;0.475
0;1;92.800;9.500;20.500;0.466
0;1;93.400;9.300;20.600;0.457
0;1;94.000;9.200;20.700;0.448
0;1;94.600;9.100;20.800;0.440
0;1;95.200;9.000;20.900;0.431
0;1;95.700;8.900;21.000;0.422
0;1;96.300;8.900;21.200;0.414
0;1;96.900;8.800;21.300;0.405
0;1;97.500;8.700;21.400;0.397
0;1;98.000;8.600;21.600;0.389
0;1;98.600;8.500;21.700;0.381
0;1;99.200;8.400;21.900;0.373
0;1;99.700;8.400;22.000;0.365
0;1;100.300;8.300;22.200;0.358
0;1;100.900;8.200;22.400;0.350
0;1;101.400;8.200;22.500;0.343
0;1;102.000;8.100;22.700;0.336
0;1;102.600;8.100;22.900;0.329
0;1;103.100;8.000;23.100;0.323
0;1;103.700;8.000;23.300;0.316
0;1;104.300;8.000;23.500;0.310
0;1;104.800;7.900;23.700;0.304
0;1;105.400;7.900;23.900;0.298
0;1;105.900;7.900;24.100;0.293
0;1;106.500;7.800;24.300;0.287
0;1;107.100;7.800;24.500;0.282
0;1;107.600;7.800;24.800;0.277
0;1;108.200;7.800;25.000;0.273
0;1;108.700;7.800;25.300;0.269
0;1;109.300;7.800;25.500;0.265
0;1;109.800;7.800;25.800;0.261
0;1;110.400;7.800;26.100;0.258
0;1;110.900;7.800;26.300;0.255
0;1;111.500;7.800;26.600;0.253
0;1;112.000;7.900;26.900;0.250
0;1;112.500;7.900;27.200;0.248
0;1;113.100;7.900;27.500;0.247
0;1;113.600;8.000;27.800;0.246
0;1;114.200;8.000;28.100;0.245
0;1;114.700;8.000;28.500;0.244
0;1;115.200;8.100;28.800;0.244
0;1;115.800;8.100;29.100;0.245
0;1;116.300;8.200;29.500;0.246
0;1;116.800;8.300;29.900;0.247
0;1;117.300;8.300;30.200;0.248
0;1;117.900;8.400;30.600;0.251
0;1;118.400;8.500;31.000;0.253
0;1;118.900;8.600;31.400;0.256
0;1;119.400;8.700;31.800;0.260
0;1;120.000;8.800;32.200;0.263
0;1;120.500;8.900;32.600;0.268
0;1;121.000;9.000;33.000;0.273
0;1;121.500;9.100;33.500;0.278
0;1;122.000;9.200;33.900;0.284
0;1;122.500;9.300;34.400;0.291
0;1;123.000;9.400;34.800;0.298
0;1;123.500;9.600;35.300;0.305
0;1;124.000;9.700;35.800;0.313
0;1;124.500;9.800;36.300;0.322
0;1;125.000;10.000;36.800;0.331
0;1;125.500;10.100;37.300;0.341
0;1;126.000;10.300;37.800;0.351
0;1;126.500;10.500;38.300;0.362
0;1;127.000;10.600;38.900;0.374
0;1;127.500;10.800;39.400;0.386
0;1;128.000;11.000;40.000;0.399
0;2;23.600;46.600;5.700;0.542
0;2;24.100;47.000;6.100;0.568
0;2;24.600;47.400;6.400;0.589
0;2;25.200;47.700;6.800;0.611
0;2;25.700;48.000;7.200;0.633
0;2;26.300;48.300;7.600;0.656
0;2;26.900;48.600;8.000;0.679
0;2;27.400;48.900;8.300;0.702
0;2;28.000;49.200;8.700;0.725
0;2;28.700;49.400;9.100;0.749
0;2;29.300;49.700;9.500;0.773
0;2;29.900;49.900;10.000;0.797
0;2;30.500;50.200;10.400;0.821
0;2;31.200;50.400;10.800;0.846
0;2;31.900;50.600;11.200;0.870
0;2;32.500;50.800;11.600;0.895
0;2;33.200;51.000;12.000;0.919
0;2;33.900;51.200;12.400;0.943
0;2;34.600;51.400;12.800;0.968
0;2;35.300;51.600;13.300;0.992
0;2;36.000;51.700;13.700;1.016
0;2;36.700;51.900;14.100;1.040
0;2;37.400;52.100;14.500;1.063
0;2;38.100;52.200;14.900;1.087
0;2;38.800;52.400;15.300;1.110
0;2;39.600;52.600;15.700;1.132
0;2;40.300;52.700;16.100;1.155
0;2;41.000;52.900;16.500;1.177
0;2;41.700;53.100;16.900;1.198
0;2;42.500;53.300;17.300;1.220
0;2;43.200;53.400;17.700;1.240
0;2;44.000;53.600;18.100;1.260
0;2;44.700;53.800;18.500;1.280
0;2;45.500;54.000;18.900;1.299
0;2;46.200;54.200;19.200;1.317
0;2;46.900;54.400;19.600;1.335
0;2;47.700;54.600;20.000;1.351
0;2;48.400;54.800;20.300;1.368
0;2;49.200;55.000;20.700;1.383
0;2;49.900;55.300;21.000;1.398
0;2;50.600;55.500;21.400;1.411
0;3;50.600;55.500;21.400;1.411
0;3;51.400;55.800;21.600;1.425
0;3;52.100;56.000;21.800;1.438
0;3;52.900;56.300;22.000;1.451
0;3;53.600;56.500;22.100;1.464
0;3;54.400;56.600;22.300;1.477
0;3;55.100;56.800;22.500;1.489
0;3;55.900;56.900;22.700;1.501
0;3;56.600;57.000;22.800;1.514
0;3;57.400;57.000;23.000;1.526
0;3;58.100;57.100;23.200;1.537
0;3;58.800;57.100;23.300;1.549
0;3;59.600;57.100;23.500;1.560
0;3;60.300;57.100;23.600;1.571
0;3;61.000;57.000;23.700;1.582
0;3;61.800;57.000;23.900;1.593
0;3;62.500;56.900;24.000;1.604
0;3;63.200;56.800;24.100;1.614
0;3;64.000;56.700;24.200;1.625
0;3;64.700;56.500;24.400;1.635
0;3;65.400;56.400;24.500;1.644
0;3;66.100;56.200;24.600;1.654
0;3;66.900;56.000;24.700;1.663
0;3;67.600;55.800;24.800;1.673
0;3;68.300;55.500;24.900;1.682
0;3;69.000;55.300;25.000;1.691
0;3;69.700;55.000;25.100;1.699
0;3;70.400;54.800;25.200;1.708
0;3;71.200;54.500;25.200;1.716
